incident_number,repeat_count,time_of_day2,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
634101-11082012,1,Night-time,rest_home,Week_ends,0,66,0,100
634103-11082012,2,Night-time,rest_home,Week_ends,0,13,0,100
634684-11082012,1,Cooking-time,restaurant,Week_ends,0,5,0,100
634868-12082012,3,Night-time,others,Week_ends,0,14,0,100
634883-12082012,2,Night-time,shopping_mall,Week_ends,0,18,0,100
635379-12082012,4,Cooking-time,others,Week_ends,0,12,0,100
639005-18082012,4,Night-time,public_facility,Week_ends,0,1,0,100
639073-18082012,1,Cooking-time,office,Week_ends,0,77,0,100
639490-18082012,1,Office Hours,rest_home,Week_ends,0,38,0,100
642430-22082012,4,Cooking-time,hospital,Work_days,0,13,0,100
643451-23082012,3,Cooking-time,rest_home,Work_days,0,11,0,100
645095-26082012,1,Office Hours,industry_facility,Week_ends,0,17,0,100
645140-26082012,2,Office Hours,industry_facility,Week_ends,0,3,0,100
646614-28082012,4,Office Hours,others,Work_days,0,16,0,100
646972-29082012,6,Cooking-time,others,Work_days,0,14,0,100
649480-01092012,3,Office Hours,others,Week_ends,0,19,0,100
649774-01092012,4,Office Hours,others,Week_ends,0,10,0,100
652087-04092012,2,Office Hours,house,Work_days,0,1,0,100
653868-05092012,3,Cooking-time,hotel,Work_days,0,16,0,100
657419-09092012,2,Night-time,tansport,Week_ends,0,2,0,100
657446-09092012,3,Night-time,tansport,Week_ends,0,1,0,100
657544-09092012,4,Office Hours,tansport,Week_ends,0,1,0,100
659927-12092012,3,Night-time,school,Work_days,0,14,0,100
660022-12092012,4,Cooking-time,school,Work_days,0,12,0,100
661276-14092012,3,Night-time,hotel,Work_days,0,7,0,100
661282-14092012,4,Night-time,hotel,Work_days,0,2,0,100
661790-14092012,5,Cooking-time,office,Work_days,0,2,0,100
661987-15092012,6,Night-time,office,Week_ends,0,1,0,100
662003-15092012,7,Cooking-time,office,Week_ends,0,1,0,100
662162-15092012,8,Office Hours,office,Week_ends,0,1,0,100
662531-15092012,9,Cooking-time,office,Week_ends,0,1,0,100
665808-20092012,2,Office Hours,industry_facility,Work_days,0,11,0,100
668416-24092012,4,Cooking-time,hotel,Work_days,0,5,0,100
669921-26092012,4,Cooking-time,rest_home,Work_days,0,2,0,100
671347-27092012,3,Night-time,rest_home,Work_days,0,11,0,100
671444-28092012,3,Night-time,hospital,Work_days,0,17,0,100
671454-28092012,4,Night-time,hospital,Work_days,0,7,0,100
671463-28092012,5,Night-time,hospital,Work_days,0,2,0,100
671475-28092012,6,Night-time,hospital,Work_days,0,2,0,100
671480-28092012,7,Night-time,hospital,Work_days,0,2,0,100
671483-28092012,8,Night-time,hospital,Work_days,0,1,0,100
671487-28092012,9,Night-time,hospital,Work_days,0,1,0,100
671909-28092012,10,Cooking-time,hospital,Work_days,0,1,0,100
671932-28092012,11,Cooking-time,hospital,Work_days,0,1,0,100
672555-29092012,2,Cooking-time,rest_home,Week_ends,0,19,0,100
673559-30092012,4,Cooking-time,school,Week_ends,0,5,0,100
673560-30092012,5,Cooking-time,school,Week_ends,0,7,0,100
673936-30092012,1,Cooking-time,house,Week_ends,0,15,0,100
675980-03102012,1,Office Hours,house,Work_days,0,21,0,100
676303-04102012,3,Night-time,shopping_mall,Work_days,0,18,0,100
679159-06102012,2,Cooking-time,shopping_mall,Week_ends,0,24,0,100
679312-06102012,3,Night-time,hospital,Week_ends,0,6,0,100
683345-13102012,2,Cooking-time,house,Week_ends,0,2,0,100
685572-16102012,1,Cooking-time,restaurant,Work_days,0,15,0,100
689881-22102012,4,Night-time,school,Work_days,0,6,0,100
690496-22102012,1,Cooking-time,tansport,Work_days,0,63,0,100
692088-25102012,1,Night-time,restaurant,Work_days,0,8,0,100
693757-27102012,3,Night-time,rest_home,Week_ends,0,3,0,100
695061-28102012,2,Office Hours,rest_home,Week_ends,0,5,0,100
699408-03112012,3,Night-time,school,Week_ends,0,4,0,100
700893-05112012,2,Night-time,rest_home,Work_days,0,32,0,100
701556-06112012,1,Night-time,house,Work_days,0,28,0,100
702272-07112012,1,Night-time,tansport,Work_days,0,45,0,100
703171-08112012,3,Cooking-time,public_facility,Work_days,0,11,0,100
704574-10112012,3,Cooking-time,office,Week_ends,0,6,0,100
709998-19112012,4,Night-time,public_facility,Work_days,0,1,0,100
713414-24112012,2,Office Hours,tansport,Week_ends,0,2,0,100
713667-24112012,3,Cooking-time,tansport,Week_ends,0,1,0,100
713869-25112012,2,Night-time,public_facility,Week_ends,0,14,0,100
722656-06122012,7,Cooking-time,others,Work_days,0,6,0,100
722684-06122012,8,Cooking-time,others,Work_days,0,5,0,100
725131-09122012,2,Cooking-time,industry_facility,Week_ends,0,5,0,100
729762-16122012,3,Night-time,shopping_mall,Week_ends,0,4,0,100
732427-19122012,3,Office Hours,public_facility,Work_days,0,7,0,100
732434-19122012,4,Office Hours,public_facility,Work_days,0,1,0,100
732764-20122012,5,Night-time,public_facility,Work_days,0,2,0,100
733666-21122012,5,Night-time,school,Work_days,0,4,0,100
733749-21122012,6,Cooking-time,school,Work_days,0,5,0,100
734218-21122012,7,Cooking-time,school,Work_days,0,1,0,100
738200-26122012,4,Office Hours,shopping_mall,Work_days,0,4,0,100
738432-27122012,6,Night-time,shopping_mall,Work_days,0,1,0,100
738765-27122012,7,Cooking-time,shopping_mall,Work_days,0,1,0,100
739340-28122012,8,Office Hours,shopping_mall,Work_days,0,2,0,100
740438-30122012,4,Office Hours,school,Week_ends,0,4,0,100
003327-05012013,1,Night-time,house,Week_ends,0,9,0,100
003673-05012013,1,Office Hours,restaurant,Week_ends,0,3,0,100
004383-06012013,2,Cooking-time,restaurant,Week_ends,0,2,0,100
004424-06012013,3,Office Hours,apartment,Week_ends,0,8,0,100
008706-09012013,5,Cooking-time,rest_home,Work_days,0,1,0,100
008835-09012013,6,Cooking-time,rest_home,Work_days,0,1,0,100
009098-10012013,2,Night-time,house,Work_days,0,3,0,100
012597-13012013,2,Night-time,hotel,Week_ends,0,9,0,100
013302-13012013,3,Cooking-time,hotel,Week_ends,0,5,0,100
013636-13012013,4,Night-time,hotel,Week_ends,0,1,0,100
013696-14012013,5,Night-time,hotel,Work_days,0,2,0,100
013764-14012013,6,Cooking-time,hotel,Work_days,0,3,0,100
013782-14012013,7,Cooking-time,hotel,Work_days,0,1,0,100
015166-16012013,2,Cooking-time,tansport,Work_days,0,7,0,100
017474-18012013,4,Cooking-time,apartment,Work_days,0,10,0,100
024385-26012013,4,Office Hours,apartment,Week_ends,0,4,0,100
024515-26012013,5,Cooking-time,apartment,Week_ends,0,4,0,100
027216-29012013,9,Night-time,others,Work_days,0,2,0,100
027432-29012013,2,Cooking-time,house,Work_days,0,8,0,100
027507-29012013,3,Cooking-time,house,Work_days,0,3,0,100
028066-29012013,2,Night-time,restaurant,Work_days,0,1,0,100
030048-02022013,3,Cooking-time,hospital,Week_ends,0,9,0,100
030247-02022013,5,Office Hours,apartment,Week_ends,0,2,0,100
030360-02022013,6,Cooking-time,apartment,Week_ends,0,4,0,100
030431-02022013,7,Night-time,apartment,Week_ends,0,3,0,100
030460-03022013,8,Night-time,apartment,Week_ends,0,4,0,100
035262-11022013,3,Office Hours,hotel,Work_days,0,4,0,100
035613-12022013,3,Night-time,industry_facility,Work_days,0,6,0,100
038552-17022013,3,Office Hours,shopping_mall,Week_ends,0,2,0,100
039418-19022013,2,Office Hours,tansport,Work_days,0,10,0,100
040834-21022013,3,Office Hours,tansport,Work_days,0,2,0,100
040956-21022013,4,Cooking-time,tansport,Work_days,0,1,0,100
041081-22022013,5,Night-time,tansport,Work_days,0,1,0,100
041085-22022013,6,Night-time,tansport,Work_days,0,1,0,100
041680-22022013,7,Cooking-time,tansport,Work_days,0,1,0,100
042136-23022013,3,Office Hours,rest_home,Week_ends,0,1,0,100
042393-23022013,4,Office Hours,rest_home,Week_ends,0,1,0,100
042545-23022013,5,Cooking-time,rest_home,Week_ends,0,1,0,100
043640-24022013,3,Office Hours,school,Week_ends,0,7,0,100
043869-24022013,3,Office Hours,hospital,Week_ends,0,4,0,100
043898-24022013,5,Office Hours,school,Week_ends,0,1,0,100
044042-24022013,2,Cooking-time,tansport,Week_ends,0,2,0,100
044087-24022013,3,Cooking-time,restaurant,Week_ends,0,1,0,100
044171-25022013,6,Night-time,school,Work_days,0,2,0,100
044456-25022013,5,Cooking-time,hospital,Work_days,0,6,0,100
047658-03032013,3,Night-time,hotel,Week_ends,0,3,0,100
049002-05032013,3,Cooking-time,industry_facility,Work_days,0,5,0,100
054698-16032013,5,Night-time,others,Week_ends,0,2,0,100
054702-16032013,6,Night-time,others,Week_ends,0,2,0,100
054713-16032013,7,Night-time,others,Week_ends,0,1,0,100
054727-16032013,8,Night-time,others,Week_ends,0,3,0,100
054752-16032013,9,Night-time,others,Week_ends,0,1,0,100
054928-16032013,10,Cooking-time,others,Week_ends,0,1,0,100
054988-16032013,11,Cooking-time,others,Week_ends,0,1,0,100
055001-16032013,12,Office Hours,others,Week_ends,0,1,0,100
055016-16032013,13,Office Hours,others,Week_ends,0,1,0,100
055058-16032013,14,Office Hours,others,Week_ends,0,1,0,100
055073-16032013,15,Office Hours,others,Week_ends,0,1,0,100
056702-19032013,5,Office Hours,school,Work_days,0,3,0,100
057285-20032013,6,Office Hours,school,Work_days,0,3,0,100
059239-23032013,6,Cooking-time,school,Week_ends,0,3,0,100
059360-23032013,7,Office Hours,school,Week_ends,0,2,0,100
067362-05042013,7,Office Hours,school,Work_days,0,3,0,100
067780-06042013,8,Office Hours,school,Week_ends,0,1,0,100
072209-14042013,4,Night-time,school,Week_ends,0,3,0,100
072219-14042013,5,Night-time,school,Week_ends,0,1,0,100
072666-14042013,4,Cooking-time,shopping_mall,Week_ends,0,3,0,100
087617-09052013,3,Cooking-time,tansport,Work_days,0,3,0,100
088423-10052013,2,Night-time,tansport,Work_days,0,12,0,100
095754-22052013,1,Office Hours,restaurant,Work_days,0,5,0,100
096688-24052013,6,Night-time,apartment,Work_days,0,1,0,100
108226-15062013,4,Night-time,apartment,Week_ends,0,3,0,100
111802-22062013,5,Night-time,apartment,Week_ends,0,2,0,100
112816-23062013,4,Cooking-time,office,Week_ends,0,2,0,100
113008-24062013,5,Night-time,office,Work_days,0,2,0,100
115124-27062013,3,Night-time,tansport,Work_days,0,4,0,100
118045-03072013,6,Office Hours,others,Work_days,0,2,0,100
118473-04072013,9,Cooking-time,others,Work_days,0,2,0,100
122234-11072013,4,Night-time,office,Work_days,0,2,0,100
127097-20072013,4,Office Hours,shopping_mall,Week_ends,0,1,0,100
143708-17082013,4,Cooking-time,hospital,Week_ends,0,2,0,100
158707-07092013,1,Night-time,restaurant,Week_ends,0,4,0,100
167749-18092013,2,Cooking-time,restaurant,Work_days,0,3,0,100
203013-23102013,6,Office Hours,hospital,Work_days,0,1,0,100
209013-30102013,4,Cooking-time,public_facility,Work_days,0,5,0,100
209014-30102013,5,Cooking-time,public_facility,Work_days,0,2,0,100
209016-30102013,6,Cooking-time,public_facility,Work_days,0,2,0,100
209018-30102013,7,Cooking-time,public_facility,Work_days,0,2,0,100
209019-30102013,8,Cooking-time,public_facility,Work_days,0,1,0,100
209020-30102013,9,Cooking-time,public_facility,Work_days,0,1,0,100
209021-30102013,10,Cooking-time,public_facility,Work_days,0,1,0,100
209022-30102013,11,Cooking-time,public_facility,Work_days,0,1,0,100
209023-30102013,12,Cooking-time,public_facility,Work_days,0,1,0,100
209024-30102013,13,Cooking-time,public_facility,Work_days,0,1,0,100
209025-30102013,14,Cooking-time,public_facility,Work_days,0,1,0,100
209026-30102013,15,Cooking-time,public_facility,Work_days,0,1,0,100
209027-30102013,16,Cooking-time,public_facility,Work_days,0,1,0,100
209028-30102013,17,Cooking-time,public_facility,Work_days,0,1,0,100
209029-30102013,18,Cooking-time,public_facility,Work_days,0,1,0,100
209030-30102013,19,Cooking-time,public_facility,Work_days,0,1,0,100
209031-30102013,20,Cooking-time,public_facility,Work_days,0,1,0,100
209032-30102013,21,Cooking-time,public_facility,Work_days,0,1,0,100
209033-30102013,22,Cooking-time,public_facility,Work_days,0,1,0,100
209034-30102013,23,Cooking-time,public_facility,Work_days,0,1,0,100
209035-30102013,24,Cooking-time,public_facility,Work_days,0,1,0,100
209036-30102013,25,Cooking-time,public_facility,Work_days,0,1,0,100
209037-30102013,26,Cooking-time,public_facility,Work_days,0,1,0,100
209038-30102013,27,Cooking-time,public_facility,Work_days,0,1,0,100
209039-30102013,28,Cooking-time,public_facility,Work_days,0,1,0,100
209040-30102013,29,Cooking-time,public_facility,Work_days,0,1,0,100
209041-30102013,30,Cooking-time,public_facility,Work_days,0,1,0,100
209042-30102013,31,Cooking-time,public_facility,Work_days,0,1,0,100
209043-30102013,32,Cooking-time,public_facility,Work_days,0,1,0,100
209044-30102013,33,Cooking-time,public_facility,Work_days,0,1,0,100
209045-30102013,34,Cooking-time,public_facility,Work_days,0,1,0,100
209046-30102013,35,Cooking-time,public_facility,Work_days,0,1,0,100
209047-30102013,36,Cooking-time,public_facility,Work_days,0,1,0,100
209048-30102013,37,Cooking-time,public_facility,Work_days,0,1,0,100
209049-30102013,38,Cooking-time,public_facility,Work_days,0,1,0,100
209050-30102013,39,Cooking-time,public_facility,Work_days,0,1,0,100
209051-30102013,40,Cooking-time,public_facility,Work_days,0,1,0,100
209052-30102013,41,Cooking-time,public_facility,Work_days,0,1,0,100
209053-30102013,42,Office Hours,public_facility,Work_days,0,1,0,100
209054-30102013,43,Office Hours,public_facility,Work_days,0,1,0,100
209064-30102013,44,Office Hours,public_facility,Work_days,0,1,0,100
209067-30102013,45,Office Hours,public_facility,Work_days,0,1,0,100
209570-31102013,10,Cooking-time,others,Work_days,0,2,0,100
210200-01112013,4,Office Hours,hospital,Work_days,0,2,0,100
211909-03112013,5,Cooking-time,others,Week_ends,0,2,0,100
212178-03112013,6,Cooking-time,others,Week_ends,0,1,0,100
231040-30112013,2,Night-time,industry_facility,Week_ends,0,4,0,100
236069-08122013,4,Cooking-time,hotel,Week_ends,0,4,0,100
236726-09122013,5,Cooking-time,hotel,Work_days,0,3,0,100
236786-09122013,6,Night-time,hotel,Work_days,0,1,0,100
237821-11122013,6,Office Hours,apartment,Work_days,0,1,0,100
237822-11122013,7,Office Hours,apartment,Work_days,0,1,0,100
237823-11122013,8,Office Hours,apartment,Work_days,0,2,0,100
242942-19122013,5,Cooking-time,shopping_mall,Work_days,0,1,0,100
248581-27122013,4,Office Hours,school,Work_days,0,5,0,100
007596-12012014,3,Cooking-time,rest_home,Week_ends,0,2,0,100
034196-20022014,7,Night-time,others,Work_days,0,5,0,100
040676-04032014,5,Office Hours,others,Work_days,0,3,0,100
046229-14032014,4,Office Hours,rest_home,Work_days,0,2,0,100
063942-15042014,5,Office Hours,apartment,Work_days,0,1,0,100
066262-19042014,2,Office Hours,office,Week_ends,0,4,0,100
074689-05052014,6,Office Hours,shopping_mall,Work_days,0,1,0,100
074962-06052014,7,Night-time,shopping_mall,Work_days,0,1,0,100
075421-06052014,8,Night-time,shopping_mall,Work_days,0,1,0,100
075447-07052014,9,Night-time,shopping_mall,Work_days,0,1,0,100
075454-07052014,10,Night-time,shopping_mall,Work_days,0,1,0,100
075565-07052014,11,Office Hours,shopping_mall,Work_days,0,1,0,100
080964-17052014,6,Night-time,apartment,Week_ends,0,1,0,100
105123-01072014,3,Night-time,house,Work_days,0,1,0,100
108425-06072014,3,Cooking-time,public_facility,Week_ends,0,6,0,100
108550-06072014,4,Office Hours,public_facility,Week_ends,0,1,0,100
117523-21072014,4,Office Hours,hotel,Work_days,0,1,0,100
119706-25072014,5,Cooking-time,school,Work_days,0,6,0,100
125284-02082014,3,Office Hours,hotel,Week_ends,0,2,0,100
139016-24082014,2,Office Hours,house,Week_ends,0,1,0,100
157323-28092014,4,Night-time,hospital,Week_ends,0,2,0,100
157817-28092014,5,Cooking-time,hospital,Week_ends,0,1,0,100
172294-18102014,4,Cooking-time,public_facility,Week_ends,0,2,0,100
194493-18112014,3,Office Hours,industry_facility,Work_days,0,2,0,100
198213-23112014,5,Night-time,hospital,Week_ends,0,1,0,100
204121-30112014,6,Cooking-time,shopping_mall,Week_ends,0,2,0,100
208284-06122014,4,Office Hours,office,Week_ends,0,2,0,100
209232-07122014,5,Office Hours,shopping_mall,Week_ends,0,1,0,100
209704-07122014,7,Night-time,shopping_mall,Week_ends,0,1,0,100
213377-14122014,5,Office Hours,hotel,Week_ends,0,1,0,100
218190-21122014,5,Office Hours,others,Week_ends,0,2,0,100
016380-29012015,2,Office Hours,restaurant,Work_days,0,2,0,100
028675-21022015,6,Office Hours,school,Week_ends,0,1,0,100
028784-21022015,7,Cooking-time,school,Week_ends,0,1,0,100
028954-21022015,8,Cooking-time,school,Week_ends,0,2,0,100
029430-22022015,9,Cooking-time,school,Week_ends,0,3,0,100
031823-27022015,8,Cooking-time,school,Work_days,0,2,0,100
032992-01032015,3,Office Hours,public_facility,Week_ends,0,1,0,100
033018-01032015,10,Cooking-time,school,Week_ends,0,1,0,100
033231-01032015,5,Office Hours,public_facility,Week_ends,0,1,0,100
033292-01032015,4,Office Hours,hospital,Week_ends,0,1,0,100
033329-01032015,6,Office Hours,public_facility,Week_ends,0,1,0,100
033344-01032015,7,Office Hours,public_facility,Week_ends,0,1,0,100
033458-01032015,11,Cooking-time,school,Week_ends,0,1,0,100
034429-03032015,6,Cooking-time,office,Work_days,0,1,0,100
034682-04032015,7,Cooking-time,office,Work_days,0,1,0,100
035162-05032015,8,Night-time,office,Work_days,0,1,0,100
053850-06042015,4,Night-time,industry_facility,Work_days,0,2,0,100
053858-06042015,5,Night-time,industry_facility,Work_days,0,1,0,100
056132-10042015,5,Night-time,apartment,Work_days,0,1,0,100
056971-12042015,9,Cooking-time,apartment,Week_ends,0,1,0,100
057049-12042015,10,Office Hours,apartment,Week_ends,0,1,0,100
070075-25042015,6,Office Hours,apartment,Week_ends,0,1,0,100
070077-25042015,7,Office Hours,apartment,Week_ends,0,1,0,100
075184-03052015,2,Night-time,house,Week_ends,0,1,0,100
075864-03052015,6,Night-time,school,Week_ends,0,1,0,100
075915-04052015,7,Night-time,school,Work_days,0,1,0,100
076165-04052015,9,Cooking-time,school,Work_days,0,1,0,100
076184-04052015,10,Cooking-time,school,Work_days,0,1,0,100
120775-30072015,4,Cooking-time,industry_facility,Work_days,0,1,0,100
